tanggal,wp_id,sektor,kecamatan,omzet_est,tarif,expected_tax,paid_tax,ratio_paid_expected,month,txn_wp_month,sector_code,kec_code,anomaly_label,anomaly_score,is_anomaly
2025-05-20,WP0194,REKLAME,Leuwimunding,26462490.59,0.25,6615622.65,503772.69,0.07614894570808085,5,1,3,3,-1,0.006911721747336008,True
2025-05-09,WP0319,RESTORAN,Panyingkiran,93793637.65,0.1,9379363.76,11063061.28,1.1795108456269106,5,3,4,6,1,-0.07922973250020549,False
2024-12-25,WP0068,PARKIR,Panyingkiran,29636756.63,0.25,7409189.16,7544435.09,1.018253809840644,12,2,2,6,1,-0.11169489451542453,False
2025-04-12,WP0009,REKLAME,Panyingkiran,43093789.11,0.25,10773447.28,10460223.07,0.97092627811142,4,2,3,6,1,-0.13808023371391082,False
2025-04-05,WP0166,PARKIR,Majalengka,27995662.84,0.25,6998915.71,6941412.0,0.9917839116253623,4,1,2,5,1,-0.1536324183302165,False
2025-04-21,WP0320,RESTORAN,Leuwimunding,84490556.82,0.1,8449055.68,9585578.4,1.1345147627196133,4,3,4,3,1,-0.10893584520790228,False
2024-10-30,WP0291,RESTORAN,Jatiwangi,63571625.94,0.1,6357162.59,5913611.34,0.9302281098335099,10,1,4,1,1,-0.13490344207486915,False
2024-11-19,WP0220,PARKIR,Panyingkiran,16444533.66,0.25,4111133.41,4052486.37,0.9857345811601866,11,1,2,6,1,-0.10722246769052407,False
2025-01-29,WP0034,GALIAN_C,Panyingkiran,245085395.21,0.2,49017079.04,49771408.32,1.0153891111990667,1,1,0,6,1,-0.032841919052288504,False
2025-04-08,WP0321,REKLAME,Rajagaluh,34476254.56,0.25,8619063.64,8674277.94,1.0064060670980264,4,2,3,7,1,-0.1196599726646086,False
2024-09-02,WP0119,GALIAN_C,Kadipaten,92879208.23,0.2,18575841.65,4607599.56,0.2480425730803966,9,4,0,2,-1,0.055275438551519174,True
2025-04-25,WP0113,GALIAN_C,Majalengka,243996253.99,0.2,48799250.8,43218271.78,0.8856339200191164,4,1,0,5,1,-0.07145689401546362,False
2025-08-22,WP0313,RESTORAN,Maja,128021860.48,0.1,12802186.05,13484297.13,1.053280828550371,8,1,4,4,1,-0.1293608212178166,False
2025-08-14,WP0279,PARKIR,Panyingkiran,7629539.37,0.25,1907384.84,1755438.58,0.9203379114620623,8,1,2,6,1,-0.051370721287041454,False
2025-03-20,WP0062,RESTORAN,Jatiwangi,61833982.93,0.1,6183398.29,6073088.92,0.9821603971106962,3,3,4,1,1,-0.0902851019201858,False
2025-05-13,WP0046,REKLAME,Jatiwangi,28506558.97,0.25,7126639.74,6355063.76,0.8917335507126392,5,1,3,1,1,-0.15145717697658717,False
2025-01-18,WP0108,PARKIR,Majalengka,9339760.69,0.25,2334940.17,2455187.21,1.051498981235138,1,1,2,5,1,-0.060070473776486,False
2024-11-15,WP0161,HOTEL,Kadipaten,81461410.79,0.1,8146141.08,6662730.86,0.817900254190049,11,1,1,2,1,-0.10513832715815075,False
2025-05-05,WP0225,RESTORAN,Majalengka,94683273.04,0.1,9468327.3,7640017.6,0.8069025666233569,5,1,4,5,1,-0.13760290285131327,False
2025-02-09,WP0271,PARKIR,Panyingkiran,6282863.99,0.25,1570716.0,1588215.7,1.011141224766285,2,1,2,6,1,-0.018141297335638296,False
2025-01-30,WP0306,GALIAN_C,Leuwimunding,121114524.6,0.2,24222904.92,24563060.38,1.0140427195302717,1,3,0,3,1,-0.022113371030982987,False
2024-11-01,WP0249,GALIAN_C,Maja,59417319.66,0.2,11883463.93,12559663.93,1.056902600452459,11,2,0,4,1,-0.0782255283704481,False
2025-05-30,WP0090,HOTEL,Rajagaluh,142932547.27,0.1,14293254.73,13578776.32,0.9500128960480647,5,2,1,7,1,-0.09905026612061085,False
2024-11-12,WP0115,REKLAME,Kadipaten,45146943.99,0.25,11286736.0,12404588.51,1.099041256037175,11,2,3,2,1,-0.11448170662915447,False
2025-05-10,WP0113,GALIAN_C,Majalengka,303996138.53,0.2,60799227.71,55115474.72,0.9065160331129476,5,2,0,5,1,-0.04677708366067723,False
2025-02-25,WP0207,RESTORAN,Jatiwangi,51429072.3,0.1,5142907.23,4356359.31,0.8470616161590765,2,1,4,1,1,-0.0997409022711373,False
2025-01-04,WP0323,REKLAME,Jatiwangi,48194997.28,0.25,12048749.32,13742692.09,1.1405907555224992,1,4,3,1,1,-0.0018039923035128025,False
2024-12-31,WP0117,PARKIR,Majalengka,13857299.05,0.25,3464324.76,2959500.62,0.854279210243557,12,2,2,5,1,-0.07338774703168066,False
2025-05-16,WP0170,REKLAME,Maja,52651501.45,0.25,13162875.36,11892376.1,0.9034785922336653,5,2,3,4,1,-0.1376528475389696,False
2025-03-25,WP0197,PARKIR,Maja,16866635.12,0.25,4216658.78,3422864.02,0.8117479261625243,3,2,2,4,1,-0.10204625656827859,False
2024-12-25,WP0052,PARKIR,Leuwimunding,13092443.15,0.25,3273110.79,3338370.03,1.0199379868837253,12,3,2,3,1,-0.045607801056937625,False
2024-12-23,WP0183,GALIAN_C,Dawuan,196766011.85,0.2,39353202.37,40069938.65,1.0182129086538174,12,2,0,0,1,-0.021795746683067163,False
2024-12-05,WP0335,RESTORAN,Majalengka,106016259.19,0.1,10601625.92,1548084.63,0.14602332148689887,12,2,4,5,-1,0.001747408397787198,True
2025-03-13,WP0132,RESTORAN,Leuwimunding,95472120.45,0.1,9547212.04,10621261.09,1.1124987111944358,3,2,4,3,1,-0.13518595204053824,False
2025-01-11,WP0145,RESTORAN,Leuwimunding,114927546.08,0.1,11492754.61,9535144.98,0.829665759303983,1,1,4,3,1,-0.11209945358860718,False
2024-11-03,WP0345,HOTEL,Maja,163633800.82,0.1,16363380.08,15116861.39,0.9238226647608372,11,1,1,4,1,-0.11022093331538901,False
2025-04-07,WP0090,HOTEL,Rajagaluh,82270289.49,0.1,8227028.95,7465654.24,0.9074544754093761,4,1,1,7,1,-0.09971222073597324,False
2025-01-26,WP0148,REKLAME,Jatiwangi,17484860.86,0.25,4371215.21,4532535.81,1.0369052065043487,1,1,3,1,1,-0.10441104950040958,False
2025-02-13,WP0163,REKLAME,Jatiwangi,38964899.48,0.25,9741224.87,8184372.66,0.8401790092337742,2,1,3,1,1,-0.12906178092398096,False
2024-10-28,WP0117,PARKIR,Majalengka,16180378.18,0.25,4045094.55,4029405.45,0.9961214503626374,10,2,2,5,1,-0.12365670358750186,False
2025-05-28,WP0305,PARKIR,Majalengka,13104136.83,0.25,3276034.21,3043216.61,0.9289330986565003,5,1,2,5,1,-0.11932998290059293,False
2025-03-31,WP0008,GALIAN_C,Panyingkiran,283831899.1,0.2,56766379.82,57497579.49,1.0128808578654929,3,3,0,6,1,-0.007382930940561638,False
2024-12-09,WP0053,GALIAN_C,Jatiwangi,292080815.28,0.2,58416163.06,71691397.42,1.2272527613010946,12,1,0,1,-1,0.017386069727237108,True
2024-11-30,WP0092,PARKIR,Panyingkiran,8325528.75,0.25,2081382.19,1792260.77,0.8610916239270789,11,2,2,6,1,-0.03518506337121596,False
2024-12-17,WP0009,REKLAME,Panyingkiran,23549876.75,0.25,5887469.19,5579961.77,0.9477691670094327,12,2,3,6,1,-0.1046507710703008,False
2025-03-31,WP0245,RESTORAN,Leuwimunding,79074797.65,0.1,7907479.76,7242422.42,0.9158951574730303,3,2,4,3,1,-0.14916427543276883,False
2025-05-04,WP0151,GALIAN_C,Rajagaluh,186918585.75,0.2,37383717.15,36795364.54,0.9842617948440154,5,1,0,7,1,-0.05699872253297111,False
2025-04-25,WP0350,REKLAME,Majalengka,29689942.26,0.25,7422485.57,7280251.51,0.9808374083507985,4,1,3,5,1,-0.15823919073529358,False
2024-11-08,WP0206,RESTORAN,Jatiwangi,58790836.59,0.1,5879083.66,5536131.47,0.9416657067948578,11,1,4,1,1,-0.11734776628546978,False
2025-06-10,WP0197,PARKIR,Maja,20881655.03,0.25,5220413.76,4372834.12,0.8376412907163896,6,1,2,4,1,-0.1351389900175577,False
2024-10-17,WP0155,GALIAN_C,Rajagaluh,186004905.38,0.2,37200981.08,39964654.26,1.0742903305172724,10,1,0,7,1,-0.04753166366844397,False
2024-09-11,WP0130,REKLAME,Panyingkiran,24494428.2,0.25,6123607.05,7605152.64,1.241940016382991,9,2,3,6,1,-0.11049845866897046,False
2025-02-28,WP0189,REKLAME,Kadipaten,35574025.98,0.25,8893506.5,8819394.95,0.9916667795767619,2,2,3,2,1,-0.13722183311316855,False
2024-10-25,WP0006,RESTORAN,Leuwimunding,96448447.69,0.1,9644844.77,10070128.59,1.0440944183283107,10,1,4,3,1,-0.14964060026866793,False
2025-06-01,WP0115,REKLAME,Kadipaten,30570215.58,0.25,7642553.9,8925276.18,1.167839480988155,6,1,3,2,1,-0.14528863295236238,False
2025-03-21,WP0202,RESTORAN,Kadipaten,66749731.03,0.1,6674973.1,6406133.7,0.9597242721472541,3,2,4,2,1,-0.1398503503442889,False
2024-09-08,WP0080,RESTORAN,Dawuan,61793191.85,0.1,6179319.18,6420758.39,1.0390721377172816,9,2,4,0,1,-0.10899145694357171,False
2025-01-21,WP0299,REKLAME,Panyingkiran,51840417.75,0.25,12960104.44,12932418.58,0.9978637625855429,1,1,3,6,1,-0.09557668733150892,False
2025-07-05,WP0175,REKLAME,Jatiwangi,24657571.79,0.25,6164392.95,6704715.43,1.0876521799279522,7,1,3,1,1,-0.14655923706474128,False
2025-08-06,WP0330,RESTORAN,Leuwimunding,43143929.75,0.1,4314392.98,1913536.28,0.4435238720419019,8,2,4,3,1,-0.03658932604523246,False
2024-09-03,WP0038,RESTORAN,Leuwimunding,51497278.5,0.1,5149727.85,4738300.84,0.9201070382777606,9,1,4,3,1,-0.1349582922204518,False
2025-01-03,WP0307,REKLAME,Kadipaten,19008025.57,0.25,4752006.39,4727260.24,0.9947924838543831,1,3,3,2,1,-0.07465707307098057,False
2025-05-19,WP0010,PARKIR,Panyingkiran,26987805.25,0.25,6746951.31,6032392.88,0.8940916575252417,5,1,2,6,1,-0.14027880623864064,False
2024-12-31,WP0222,REKLAME,Rajagaluh,38463401.88,0.25,9615850.47,10319659.8,1.0731926242193324,12,2,3,7,1,-0.08259407677411063,False
2024-12-07,WP0004,REKLAME,Panyingkiran,18170885.82,0.25,4542721.45,4082433.02,0.898675620976056,12,2,3,6,1,-0.08365246396107845,False
2024-11-19,WP0154,HOTEL,Dawuan,150723617.3,0.1,15072361.73,13484197.79,0.8946307175710279,11,1,1,0,1,-0.0699389313088068,False
2025-03-30,WP0030,RESTORAN,Kadipaten,94684546.46,0.1,9468454.65,9525701.88,1.006046100669659,3,2,4,2,1,-0.14183286088848684,False
2025-08-21,WP0327,REKLAME,Jatiwangi,27952888.02,0.25,6988222.01,7272934.77,1.0407418023629733,8,1,3,1,1,-0.1491719232783587,False
2025-02-14,WP0015,RESTORAN,Panyingkiran,97520250.48,0.1,9752025.05,9944361.05,1.0197226728821827,2,1,4,6,1,-0.11480049663654601,False
2024-12-27,WP0343,RESTORAN,Rajagaluh,142653872.82,0.1,14265387.28,14434284.71,1.0118396666480127,12,1,4,7,1,-0.06184741051721565,False
2025-04-27,WP0036,PARKIR,Dawuan,27144447.41,0.25,6786111.85,6624183.67,0.9761382978089287,4,1,2,0,1,-0.11434480905117911,False
2025-01-03,WP0326,PARKIR,Maja,22611142.56,0.25,5652785.64,5814027.29,1.0285242817026403,1,1,2,4,1,-0.11753033935991208,False
2024-12-22,WP0040,HOTEL,Kadipaten,55693490.37,0.1,5569349.04,5714651.73,1.0260897079634284,12,2,1,2,1,-0.08225829869299672,False
2025-05-01,WP0346,REKLAME,Dawuan,35347722.05,0.25,8836930.51,9385930.21,1.0621256101741148,5,2,3,0,1,-0.1260904899803193,False
2024-09-26,WP0284,RESTORAN,Leuwimunding,118391150.88,0.1,11839115.09,10544658.58,0.8906627311112658,9,2,4,3,1,-0.13664678035314598,False
2025-02-26,WP0211,REKLAME,Dawuan,29691003.56,0.25,7422750.89,8492362.98,1.144099149473141,2,1,3,0,1,-0.10461495460345827,False
2024-12-20,WP0282,HOTEL,Panyingkiran,58406407.92,0.1,5840640.79,4817881.16,0.8248891402890058,12,1,1,6,1,-0.07057410119385377,False
2024-09-09,WP0064,HOTEL,Jatiwangi,76518786.88,0.1,7651878.69,7814933.01,1.021309057109477,9,1,1,1,1,-0.12641071578095475,False
2025-06-18,WP0285,REKLAME,Panyingkiran,39677706.66,0.25,9919426.67,10711432.1,1.0798438716619898,6,2,3,6,1,-0.13726574512830575,False
2024-09-06,WP0236,PARKIR,Majalengka,14879202.79,0.25,3719800.7,3266464.46,0.8781288900773635,9,1,2,5,1,-0.11336803407747115,False
2025-05-15,WP0038,RESTORAN,Leuwimunding,93916755.47,0.1,9391675.55,6926913.73,0.7375588831963004,5,1,4,3,1,-0.1324916040845045,False
2024-09-28,WP0071,PARKIR,Leuwimunding,33389525.58,0.25,8347381.39,8159471.35,0.9774887439281122,9,1,2,3,1,-0.15465414446672537,False
2025-03-23,WP0114,PARKIR,Kadipaten,24157654.49,0.25,6039413.62,6106261.39,1.011068586158535,3,1,2,2,1,-0.14066451712399702,False
2025-04-24,WP0160,PARKIR,Rajagaluh,11603343.21,0.25,2900835.8,2861348.52,0.9863876197335955,4,1,2,7,1,-0.07057653710531353,False
2024-12-31,WP0221,REKLAME,Leuwimunding,21080468.03,0.25,5270117.01,6156613.27,1.1682118742938499,12,1,3,3,1,-0.09723785946896057,False
2025-04-18,WP0053,GALIAN_C,Jatiwangi,225360776.26,0.2,45072155.25,43347265.77,0.9617304859190199,4,3,0,1,1,-0.029387840632696616,False
2024-10-04,WP0193,GALIAN_C,Majalengka,168790094.08,0.2,33758018.82,5061398.49,0.14993173968495346,10,1,0,5,-1,0.004876493210531074,True
2025-06-20,WP0157,REKLAME,Dawuan,20420853.5,0.25,5105213.38,4676540.22,0.9160322736598328,6,2,3,0,1,-0.10936488361601643,False
2024-12-02,WP0204,GALIAN_C,Rajagaluh,178552200.08,0.2,35710440.02,36241065.27,1.0148591070203228,12,1,0,7,1,-0.03272659139354228,False
2025-01-28,WP0107,HOTEL,Panyingkiran,38838455.06,0.1,3883845.51,3532388.46,0.9095079737092838,1,1,1,6,1,-0.05632105824851741,False
2025-01-04,WP0120,REKLAME,Majalengka,19695080.56,0.25,4923770.14,4944234.72,1.0041562825676504,1,1,3,5,1,-0.11690505971939974,False
2025-01-05,WP0262,GALIAN_C,Majalengka,147413079.55,0.2,29482615.91,31425604.7,1.0659028627558442,1,1,0,5,1,-0.049236918811865205,False
2024-08-29,WP0178,HOTEL,Jatiwangi,166717247.78,0.1,16671724.78,17464791.89,1.047569589857397,8,1,1,1,1,-0.10440050443801024,False
2024-11-29,WP0274,GALIAN_C,Dawuan,154878914.4,0.2,30975782.88,34767009.15,1.1223932348921475,11,1,0,0,1,-0.018837030984073855,False
2025-08-13,WP0239,REKLAME,Maja,43406353.97,0.25,10851588.49,10838845.31,0.9988256852891406,8,1,3,4,1,-0.1525943293587777,False
2025-04-26,WP0031,REKLAME,Dawuan,21943517.77,0.25,5485879.44,5094297.66,0.9286200536700091,4,2,3,0,1,-0.11117914747652324,False
2025-06-30,WP0143,HOTEL,Majalengka,129812005.46,0.1,12981200.55,12062016.69,0.9291911517382727,6,1,1,5,1,-0.14504609100081944,False
2025-05-24,WP0179,GALIAN_C,Leuwimunding,253445879.7,0.2,50689175.94,56897203.62,1.1224724522519038,5,1,0,3,1,-0.06091744159879375,False
2024-12-08,WP0167,HOTEL,Leuwimunding,202807344.18,0.1,20280734.42,19183154.29,0.9458806516928886,12,3,1,3,1,-0.04890685961098573,False
2025-07-08,WP0297,PARKIR,Majalengka,22786345.38,0.25,5696586.35,5602923.75,0.9835581180999741,7,1,2,5,1,-0.1512492737230413,False
2025-07-22,WP0253,GALIAN_C,Leuwimunding,275260480.94,0.2,55052096.19,3240749.16,0.05886695301874209,7,1,0,3,-1,0.02398516401112416,True
2024-12-25,WP0107,HOTEL,Panyingkiran,104450274.49,0.1,10445027.45,10741517.17,1.0283857291346803,12,4,1,6,1,-0.018294299409121195,False
2025-02-19,WP0249,GALIAN_C,Maja,205546176.68,0.2,41109235.34,41478240.98,1.0089762224217522,2,2,0,4,1,-0.06441213728607287,False
2024-09-03,WP0033,RESTORAN,Majalengka,95481501.84,0.1,9548150.18,9615598.81,1.0070640520654233,9,3,4,5,1,-0.11326799371885854,False
2024-10-23,WP0011,RESTORAN,Rajagaluh,108818898.9,0.1,10881889.89,9810703.65,0.901562481257564,10,1,4,7,1,-0.09788256935299333,False
2025-07-02,WP0291,RESTORAN,Jatiwangi,52159110.6,0.1,5215911.06,4885054.56,0.9365678409401406,7,1,4,1,1,-0.13339949032949877,False
2025-01-24,WP0020,RESTORAN,Kadipaten,66627059.55,0.1,6662705.95,6421784.25,0.963840262228592,1,2,4,2,1,-0.11477180356059286,False
2025-04-04,WP0189,REKLAME,Kadipaten,25345745.71,0.25,6336436.43,6306025.0,0.9952005468158702,4,3,3,2,1,-0.12010081384886595,False
2024-12-19,WP0239,REKLAME,Maja,27049088.27,0.25,6762272.07,6297356.63,0.9312486343070192,12,1,3,4,1,-0.126575668322437,False
2025-03-27,WP0061,HOTEL,Kadipaten,106766381.36,0.1,10676638.14,11050599.18,1.0350261042002495,3,1,1,2,1,-0.13752758611140714,False
2025-08-22,WP0163,REKLAME,Jatiwangi,36005126.15,0.25,9001281.54,10345390.31,1.1493241561245513,8,1,3,1,1,-0.13949325045691052,False
2025-06-10,WP0033,RESTORAN,Majalengka,90644836.88,0.1,9064483.69,7365359.32,0.812551444946116,6,1,4,5,1,-0.1404802979288718,False
2025-02-14,WP0278,REKLAME,Panyingkiran,53743050.08,0.25,13435762.52,12927428.59,0.9621656062137663,2,1,3,6,1,-0.10746369493235558,False
2025-01-06,WP0101,RESTORAN,Majalengka,98558547.08,0.1,9855854.71,2001547.78,0.20308211097807466,1,2,4,5,-1,0.0035579270251100414,True
2024-09-18,WP0262,GALIAN_C,Majalengka,219507243.24,0.2,43901448.65,45351959.48,1.0330401586873375,9,3,0,5,1,-0.043691733007123146,False
2025-07-05,WP0197,PARKIR,Maja,13349964.62,0.25,3337491.16,3259120.09,0.9765179692640743,7,2,2,4,1,-0.1075481159603841,False
2025-08-18,WP0207,RESTORAN,Jatiwangi,51304038.95,0.1,5130403.89,639218.01,0.12459409116813219,8,2,4,1,-1,0.03245269443471466,True
2025-01-10,WP0199,GALIAN_C,Rajagaluh,254493529.16,0.2,50898705.83,48008903.88,0.9432244513317914,1,2,0,7,1,-0.01685925714595482,False
2024-11-27,WP0075,PARKIR,Jatiwangi,13318023.5,0.25,3329505.88,2942997.39,0.8839141590583406,11,2,2,1,1,-0.05596657508080016,False
2025-04-29,WP0010,PARKIR,Panyingkiran,24636074.53,0.25,6159018.63,2621475.81,0.42563206372376244,4,1,2,6,1,-0.05477640074240586,False
2025-04-22,WP0146,RESTORAN,Leuwimunding,104200860.34,0.1,10420086.03,1625059.65,0.1559545329396863,4,2,4,3,1,-0.020072145047972167,False
2024-12-17,WP0087,PARKIR,Rajagaluh,5000000.0,0.25,1250000.0,1358878.06,1.087102448,12,1,2,7,-1,0.044223020373966526,True
2025-07-08,WP0306,GALIAN_C,Leuwimunding,307370514.56,0.2,61474102.91,58080902.18,0.9448027613356514,7,3,0,3,1,-0.02638325237524286,False
2025-03-26,WP0092,PARKIR,Panyingkiran,26881532.79,0.25,6720383.2,6218612.4,0.9253359838171134,3,2,2,6,1,-0.12806090613407223,False
2025-02-02,WP0342,HOTEL,Jatiwangi,56497730.09,0.1,5649773.01,5435543.23,0.962081701402726,2,1,1,1,1,-0.09503394234107793,False
2024-11-11,WP0318,RESTORAN,Dawuan,58691709.71,0.1,5869170.97,6014992.44,1.0248453266645938,11,1,4,0,1,-0.10192688492481372,False
2025-03-08,WP0154,HOTEL,Dawuan,14054989.58,0.1,1405498.96,1658861.12,1.1802649217186187,3,1,1,0,-1,0.03857976950656872,True
2024-10-19,WP0317,HOTEL,Jatiwangi,127209455.42,0.1,12720945.54,12576805.9,0.9886691095762683,10,1,1,1,1,-0.11641803282409502,False
2024-09-17,WP0177,REKLAME,Jatiwangi,27440745.63,0.25,6860186.41,6566571.64,0.9572001761392369,9,1,3,1,1,-0.147790948367917,False
2025-05-13,WP0223,RESTORAN,Majalengka,66441336.01,0.1,6644133.6,5898126.34,0.8877194070871784,5,2,4,5,1,-0.14077823101351933,False
2025-02-19,WP0266,PARKIR,Majalengka,14819724.92,0.25,3704931.23,3923162.93,1.058903036642869,2,4,2,5,1,-0.02095541290090497,False
2025-02-05,WP0318,RESTORAN,Dawuan,86548422.84,0.1,8654842.28,2970673.85,0.3432383576607476,2,1,4,0,1,-0.01883310802066729,False
2025-03-29,WP0282,HOTEL,Panyingkiran,124943833.17,0.1,12494383.32,12428701.58,0.9947430986934055,3,1,1,6,1,-0.12088144216050778,False
2025-04-02,WP0060,HOTEL,Rajagaluh,41518479.25,0.1,4151847.92,4238706.14,1.0209203761008663,4,1,1,7,1,-0.07864380587280256,False
2024-11-10,WP0056,GALIAN_C,Maja,263030029.27,0.2,52606005.85,43420394.2,0.8253885368869912,11,1,0,4,1,-0.04488128508953759,False
2025-04-23,WP0308,HOTEL,Leuwimunding,160943023.82,0.1,16094302.38,16448601.32,1.0220139358410638,4,3,1,3,1,-0.08822409071450671,False
2025-01-12,WP0098,HOTEL,Rajagaluh,144400938.6,0.1,14440093.86,15412882.34,1.067367185381993,1,2,1,7,1,-0.0669717466409423,False
2024-11-22,WP0138,PARKIR,Leuwimunding,5000000.0,0.25,1250000.0,1216022.18,0.972817744,11,1,2,3,-1,0.013637571621018862,True
2024-09-08,WP0054,GALIAN_C,Jatiwangi,253706114.95,0.2,50741222.99,56010812.43,1.1038522355095486,9,3,0,1,1,-0.008515023354719764,False
2024-09-02,WP0164,REKLAME,Jatiwangi,30658493.38,0.25,7664623.35,2713913.69,0.354083112251041,9,2,3,1,1,-0.044612804301200515,False
2025-01-12,WP0135,GALIAN_C,Majalengka,205220966.28,0.2,41044193.26,39299192.79,0.9574848393548374,1,1,0,5,1,-0.05034739423972967,False
2025-08-20,WP0300,RESTORAN,Dawuan,31635241.71,0.1,3163524.17,3066334.24,0.9692779556035446,8,2,4,0,1,-0.049118550449887555,False
2024-09-04,WP0161,HOTEL,Kadipaten,165767357.48,0.1,16576735.75,18225991.19,1.0994921717323027,9,1,1,2,1,-0.11339433136986782,False
2024-12-11,WP0331,HOTEL,Rajagaluh,94770209.54,0.1,9477020.95,9119971.32,0.9623246976150244,12,2,1,7,1,-0.07277230749536479,False
2024-10-21,WP0241,GALIAN_C,Kadipaten,245999373.56,0.2,49199874.71,45397445.55,0.9227146576609645,10,2,0,2,1,-0.060984068206920816,False
2024-12-12,WP0105,GALIAN_C,Maja,255925583.99,0.2,51185116.8,52704603.36,1.029686101253558,12,1,0,4,1,-0.04870099644206016,False
2024-08-29,WP0268,PARKIR,Maja,11835184.73,0.25,2958796.18,2939079.58,0.9933362763771041,8,2,2,4,1,-0.0955242707945973,False
2024-11-15,WP0231,PARKIR,Rajagaluh,23247348.88,0.25,5811837.22,5396183.67,0.9284815568182758,11,2,2,7,1,-0.08276728411369128,False
2024-09-12,WP0026,PARKIR,Leuwimunding,16541185.17,0.25,4135296.29,4018890.89,0.971850771544111,9,1,2,3,1,-0.13335131972355652,False
2025-06-27,WP0058,RESTORAN,Dawuan,119645956.92,0.1,11964595.69,11479558.12,0.9594605966998622,6,1,4,0,1,-0.11780557005170111,False
2024-11-19,WP0174,RESTORAN,Majalengka,116578231.28,0.1,11657823.13,1956943.71,0.16786527709140153,11,3,4,5,-1,0.016399493723737057,True
2024-11-12,WP0136,HOTEL,Kadipaten,155265766.57,0.1,15526576.66,14866324.77,0.9574760164807636,11,1,1,2,1,-0.11188372685642689,False
2024-11-18,WP0204,GALIAN_C,Rajagaluh,276307487.82,0.2,55261497.56,59273665.56,1.0726033165432007,11,1,0,7,1,-0.016686483196262758,False
2024-09-30,WP0266,PARKIR,Majalengka,21878902.46,0.25,5469725.62,6184136.62,1.130611853250511,9,1,2,5,1,-0.13843791883109713,False
2025-07-01,WP0042,HOTEL,Maja,98895029.53,0.1,9889502.95,10798975.11,1.0919633842669514,7,2,1,4,1,-0.13734932885171391,False
2025-08-09,WP0038,RESTORAN,Leuwimunding,72659954.51,0.1,7265995.45,7394559.44,1.0176939265768463,8,1,4,3,1,-0.15753298414722283,False
