tanggal;wp_id;omzet_est;tarif;expected_tax;paid_tax;ratio_paid_expected;month;sector_name;kec_code
14/01/2024;1617;12.263.413.897.131.100;0.08435956381976982;26.203.886.827.900.700;5.268.175.444.167.410;0.02010455730772768;1;sector_reklame;54
15/01/2024;1117;13.531.763.222.711.300;0.030486928223745317;17.210.827.457.822.000;18.827.720.794.625.000;109.394.628.705.479;1;sector_restoran;6
16/01/2024;1236;344.353.378.258.742;0.05719927112719745;6.496.732.560.589.170;4.531.412.239.129.420;0.06974909613207907;1;sector_parkir;49
17/01/2024;1308;10.063.647.244.171.000;0.08254870731646728;8.214.437.536.489.170;3.847.097.024.658.840;0.4683335904095373;1;sector_restoran;23
18/01/2024;1455;4.263.706.544.569.950;0.041812972761554094;11.460.747.541.166.700;3.769.260.875.600.000;0.03288843822849167;1;sector_hotel;92
19/01/2024;1899;15.894.763.689.933.400;0.06779886733024278;20.086.052.031.063.700;6.957.627.795.845.580;34.639.100.730.623.300;1;sector_restoran;78
20/01/2024;1474;47.495.925.393.282.200;0.03210684166439331;22.888.453.600.728.100;10.905.364.040.620.500;4.764.570.045.166.180;1;sector_reklame;78
21/01/2024;1099;12.413.256.219.895.400;0.019835150083134395;2.579.598.960.315.790;11.851.400.272.620.800;0.4594280140029969;1;sector_hotel;20
22/01/2024;1260;20.888.539.313.139.000;0.08149458025835707;33.831.131.015.420.200;5.076.432.015.614.240;15.005.209.294.659.400;1;sector_reklame;77
23/01/2024;1992;4.772.209.357.765.750;0.018907176106783614;35.572.117.407.931.600;1.114.022.033.354.290;0.3131728203241268;1;sector_restoran;91
24/01/2024;1304;8.799.877.749.289.380;0.03442432555716261;2.268.918.829.337.830;9.083.311.606.535.300;4.003.365.607.039.450;1;sector_hotel;60
25/01/2024;1353;32.811.888.027.505.100;0.08695984797976962;9.630.538.614.396.340;1.479.950.539.570.300;0.1536726655514345;1;sector_parkir;99
26/01/2024;1285;3.398.499.709.298.810;0.04118223583708005;4.626.411.763.745.160;13.013.196.403.037.900;28.128.054.889.138.300;1;sector_hotel;45
27/01/2024;1327;7.678.015.878.013.010;0.09757408145627451;29.946.202.419.957.300;2.741.449.979.774.540;0.009154583079781554;1;sector_reklame;61
28/01/2024;1102;7.642.947.747.137.830;0.09817609012964738;4.481.521.130.364.790;8.802.042.075.738.620;0.19640746567275782;1;sector_hotel;56
29/01/2024;1062;32.754.093.552.117.500;0.0341448418408201;17.358.917.697.515.800;739.152.230.537.595;0.4258054813194775;1;sector_parkir;2
30/01/2024;1686;4.914.443.747.263.110;0.013688040002490142;43.989.929.831.343.100;5.217.801.100.307.270;11.861.353.542.304.400;1;sector_parkir;45
31/01/2024;1281;18.484.338.756.172.900;0.07345569557848412;11.954.176.023.056.400;9.170.302.092.200.210;0.7671212197740017;1;sector_parkir;40
01/02/2024;1440;7.600.893.292.822.620;0.05058878523835094;28.224.457.472.187.000;6.393.927.805.054.650;22.653.855.477.489.200;2;sector_parkir;24
02/02/2024;1292;4.486.717.959.321.190;0.019067755956361867;137.982.549.156.534;1.831.100.210.715.410;13.270.520.235.411.200;2;sector_reklame;29
03/02/2024;1737;7.377.084.733.450.530;0.07367705370802385;14.241.351.400.164.900;59.155.319.666.454.100;0.041537715069490506;2;sector_hotel;67
04/02/2024;1006;16.422.886.368.041.000;0.012805741820072911;7.473.138.949.620.550;4.476.292.204.887.870;0.5989842066452091;2;sector_restoran;68
05/02/2024;1638;32.876.229.264.337.000;0.08831770214430179;8.897.404.665.111.720;12.531.415.110.264.200;14.084.348.843.210.500;2;sector_parkir;66
06/02/2024;1935;8.104.844.662.955.810;0.022478727620197335;4.695.813.681.624.060;23.131.272.812.403.400;4.925.934.966.909.380;2;sector_restoran;84
07/02/2024;1091;2.585.978.734.646.350;0.021458069087205253;9.796.672.834.115.030;2.096.380.967.576.870;21.398.907.599.288.500;2;sector_restoran;54
08/02/2024;1934;36.397.044.559.661.400;0.02581050681717261;3.385.621.969.150.060;1.418.360.445.255.020;4.189.364.489.536.000;2;sector_hotel;53
09/02/2024;1189;3.732.307.048.914.100;0.09642397226428599;281.914.058.617.356;6.794.700.828.012.910;2.410.202.904.153.640;2;sector_restoran;79
10/02/2024;1870;14.996.511.617.531.000;0.07238524242284615;19.014.669.723.499.500;2.648.228.858.972.230;1.392.729.349.224.180;2;sector_restoran;49
11/02/2024;1475;10.644.364.665.982.000;0.08212343819172731;4.066.917.665.804.550;27.468.901.051.588.000;6.754.230.921.012.250;2;sector_reklame;32
12/02/2024;1510;9.066.131.917.404.570;0.04578714871594778;19.951.766.052.500.800;11.731.507.506.157.600;0.5879934375376813;2;sector_restoran;61
13/02/2024;1461;6.113.248.209.586.820;0.04026814547544601;40.136.795.746.372.000;26.567.508.793.840.400;0.066192401012086;2;sector_hotel;42
14/02/2024;1052;23.080.967.277.001.200;0.031103560610485297;12.924.020.352.317.200;14.340.638.646.553.200;11.096.112.707.669.900;2;sector_restoran;1
15/02/2024;1753;14.902.438.704.698.600;0.05325832254811681;6.352.009.765.329.630;6.160.595.631.678.940;0.9698655794429879;2;sector_hotel;63
16/02/2024;1485;42.888.101.109.742.100;0.05966458601807517;13.969.067.533.457.200;220.394.111.718.082;15.777.295.885.370.800;2;sector_parkir;35
17/02/2024;1643;3.668.638.031.989.850;0.06685973592874798;11.555.222.526.289.300;21.505.053.894.157.000;0.18610679149822393;2;sector_restoran;51
18/02/2024;1489;17.892.436.930.517.100;0.03314066535988251;1.314.102.867.832.130;2.679.759.501.160.900;20.392.311.490.664.900;2;sector_restoran;71
19/02/2024;1977;1.679.129.429.770.550;0.09537886728126917;1.630.551.960.553.550;3.273.366.066.834.390;0.020075202422393985;2;sector_restoran;45
20/02/2024;1363;50.643.083.796.485.400;0.025278264838642227;16.304.564.138.182.500;3.502.616.743.668.130;0.2148243101737131;2;sector_parkir;77
21/02/2024;1111;13.903.335.517.781.400;0.09690878572897711;773.062.158.610.559;286.567.745.872.058;3.706.917.259.889.060;2;sector_reklame;65
22/02/2024;1408;4.054.789.590.226.470;0.011337051025675341;1.906.735.081.458.990;424.655.550.313.688;22.271.345.109.397.600;2;sector_restoran;14
23/02/2024;1006;159.859.293.789.471;0.053301312263516115;23.418.133.460.964.500;16.401.814.518.910.700;70.038.948.860.936.300;2;sector_hotel;93
24/02/2024;1741;7.215.749.215.193.370;0.040003105430490654;12.567.513.880.674.100;4.863.620.066.557.900;38.699.937.893.341.000;2;sector_reklame;3
25/02/2024;1667;10.460.480.477.637.000;0.05042110725372258;23.040.258.018.799.800;39.199.097.772.949.500;0.17013306769813455;2;sector_reklame;24
26/02/2024;1196;5.158.505.813.017.400;0.061359812108271024;26.208.341.600.144.200;54.380.650.635.169.400;0.20749367306350372;2;sector_reklame;65
27/02/2024;1834;7.718.909.284.127.550;0.049203024221143817;8.600.379.250.346.340;391.916.065.947.386;4.556.962.600.592.320;2;sector_restoran;48
28/02/2024;1875;4.791.917.480.381.440;0.04733621652714355;6.784.304.117.083.140;3.148.551.095.616.020;46.409.344.883.108.200;2;sector_parkir;10
29/02/2024;1734;11.530.067.664.797.200;0.07594510738719759;7.968.328.937.074.350;438.418.418.776.334;0.055020120559594196;2;sector_parkir;13
01/03/2024;1366;8.260.664.241.192.110;0.07172886475778183;390.282.379.650.916;11.111.306.782.238.200;284.699.165.567.676;3;sector_restoran;100
02/03/2024;1249;7.400.932.193.843.910;0.08499441538322632;12.492.871.630.653.800;11.289.396.129.976.600;9.036.670.241.832.740;3;sector_hotel;73
03/03/2024;1915;598.008.132.017.283;0.0324963083115546;48.592.909.182.347.400;9.115.355.615.127.870;0.18758612662851737;3;sector_hotel;14
04/03/2024;1594;23.191.102.453.663.100;0.06485756587786573;6.941.920.430.043.240;14.497.875.210.499.200;0.20884530954511285;3;sector_hotel;100
05/03/2024;1239;2.371.286.889.767.770;0.06266753068535685;22.486.023.615.462.800;25.772.205.612.357.900;11.461.433.134.240.400;3;sector_restoran;10
06/03/2024;1379;28.787.387.049.645.200;0.043276402978541996;11.306.139.289.999.000;2.669.891.169.545.600;0.2361452571088768;3;sector_parkir;40
07/03/2024;1906;1.207.192.906.472.120;0.05374517877124129;23.915.370.514.979.000;9.006.829.726.059.350;37.661.259.399.757.400;3;sector_restoran;23
08/03/2024;1871;41.254.206.755.194.500;0.03824039289751559;2.363.820.271.173.140;9.736.853.348.504.890;4.119.117.458.821.250;3;sector_parkir;99
09/03/2024;1834;3.969.353.210.420.700;0.022765995785528667;1.548.383.039.362.510;15.331.534.297.315.400;0.9901641846727824;3;sector_reklame;55
10/03/2024;1470;46.329.010.007.565.500;0.029242108959645956;19.815.406.798.354.300;42.294.960.580.298.000;0.21344482609264723;3;sector_restoran;63
11/03/2024;1774;9.593.069.104.632.760;0.019496228176108098;14.132.254.644.757.200;43.962.574.183.225.200;31.107.969.172.869.600;3;sector_parkir;71
12/03/2024;1918;6.186.757.469.949.180;0.07147626176711118;7.513.999.742.728.580;4.988.841.506.428.880;66.393.953.649.741.200;3;sector_reklame;42
13/03/2024;1700;7.105.982.538.312.640;0.06946546537982365;1.293.184.027.081.360;43.147.109.636.315.000;3.336.501.900.173.890;3;sector_reklame;99
14/03/2024;1454;5.984.462.468.063.110;0.09555457344218855;20.678.345.709.554.000;10.598.419.157.488.900;51.253.709.103.974.100;3;sector_restoran;66
15/03/2024;1365;9.082.829.702.437.360;0.07567105722825172;17.225.127.150.175.500;5.580.484.937.727.880;0.3239735120138732;3;sector_parkir;79
16/03/2024;1289;10.138.475.873.149.000;0.01468412548805183;10.483.840.215.564.300;39.929.484.478.102.200;0.3808669691362026;3;sector_reklame;73
17/03/2024;1873;1.873.272.543.393.650;0.08958206565360588;5.458.641.696.710.440;12.986.909.078.250.000;0.2379146644865225;3;sector_restoran;47
18/03/2024;1402;11.220.335.115.584.000;0.08764076466511532;4.679.161.754.161.830;20.069.797.353.232.000;0.4289186484177669;3;sector_reklame;81
19/03/2024;1057;5.845.065.886.789.350;0.04989882886954289;17.348.179.584.528.200;2.083.019.804.338.390;0.012007137660692084;3;sector_hotel;52
20/03/2024;1520;20.934.743.094.754.100;0.06272767454751295;54.837.590.931.600.100;1.370.222.312.045.560;0.02498691661628006;3;sector_restoran;18
21/03/2024;1303;24.202.829.260.716.400;0.0978470499225267;2.065.865.932.267.380;5.297.195.753.399.730;2.564.152.721.946.380;3;sector_reklame;79
22/03/2024;1114;3.025.316.162.775.560;0.05790739274633497;2.074.489.924.993.860;3.529.985.148.078.530;17.016.159.517.327.900;3;sector_restoran;18
23/03/2024;1209;24.997.695.593.189.800;0.09147896455384809;15.362.665.271.220.000;7.748.152.993.856.130;0.05043495290085685;3;sector_restoran;24
24/03/2024;1040;9.147.193.126.213.110;0.01747348820291678;17.039.426.435.972.400;20.060.804.233.775.600;11.773.168.720.881.700;3;sector_parkir;23
25/03/2024;1815;11.297.575.843.342.600;0.02719466818378146;924.297.404.151.406;1.490.433.722.093.830;0.016125044984435486;3;sector_parkir;12
26/03/2024;1172;37.949.946.854.034.900;0.04966794490971861;2.128.334.165.284.360;12.620.568.573.501.700;5.929.787.144.969.080;3;sector_reklame;23
27/03/2024;1233;6.785.930.201.294.600;0.06262811275035743;28.400.835.143.217.200;6.236.908.073.441.210;21.960.298.146.129.400;3;sector_restoran;21
28/03/2024;1792;31.856.587.475.187.900;0.08346050666765202;14.734.428.831.280.400;3.270.655.674.849.970;0.22197369930665625;3;sector_restoran;64
29/03/2024;1883;30.070.754.942.865.900;0.09894359036288682;3.523.726.348.859.540;9.387.531.755.318.710;2.664.092.164.352.370;3;sector_hotel;90
30/03/2024;1589;17.241.824.317.610.500;0.04499663468267048;8.472.001.398.509.010;1.564.376.236.998.260;18.465.249.985.364.500;3;sector_restoran;72
31/03/2024;1619;7.161.288.590.214.920;0.014267407252607644;4.283.060.267.999.310;3.048.658.831.935.520;0.07117945210141996;3;sector_parkir;94
01/04/2024;1792;2.305.424.006.237.280;0.08210543529657924;12.591.616.243.247.900;1.218.202.872.310.520;0.09674714101644934;4;sector_restoran;34
02/04/2024;1402;14.949.949.142.686.400;0.06439426471745273;4.988.463.827.844.360;5.363.096.956.010.020;0.1075099898705199;4;sector_parkir;2
03/04/2024;1038;2.844.091.734.391.680;0.02786885729813815;4.965.604.208.233.310;5.718.528.693.846.280;0.11516279699385973;4;sector_hotel;69
04/04/2024;1118;40.664.414.249.958.400;0.054534561095927823;15.027.187.008.887.200;1.083.587.175.416.750;7.210.845.082.156.130;4;sector_reklame;31
05/04/2024;1334;1.864.650.141.978.270;0.07680792209803519;13.424.751.934.672.000;7.271.791.540.757.440;0.5416704588765333;4;sector_parkir;97
06/04/2024;1335;1.896.571.008.323.110;0.07933706083617795;7.864.489.064.304.990;20.401.602.627.713.800;0.2594142157347742;4;sector_reklame;68
07/04/2024;1538;8.118.597.127.266.060;0.05496565707988859;10.573.788.990.257.800;14.365.851.242.253.700;0.13586285158035294;4;sector_reklame;70
08/04/2024;1615;5.154.972.260.570.630;0.03746930771159732;29.279.855.492.080.300;20.045.170.031.827.500;0.6846061804249471;4;sector_reklame;87
09/04/2024;1073;1.388.654.801.069.000;0.09763683238346442;1.946.802.980.844.850;1.596.852.187.769.510;8.202.433.443.349.930;4;sector_reklame;19
10/04/2024;1190;11.817.029.175.620.800;0.06970263498608437;5.109.238.322.834.960;26.734.373.779.964.500;5.232.555.635.637.360;4;sector_parkir;72
11/04/2024;1323;41.365.892.415.876;0.04674137674116689;5.167.800.106.336.390;5.657.980.358.997.130;0.10948527889187737;4;sector_hotel;13
12/04/2024;1146;3.917.850.482.354.930;0.03524169017841872;5.483.494.602.897.450;5.538.918.001.308.940;0.10101073133877438;4;sector_restoran;65
13/04/2024;1766;16.588.635.502.244.000;0.07579926847032059;45.848.432.479.639;1.468.382.202.228.740;0.32026879062459623;4;sector_parkir;6
14/04/2024;1283;15.823.672.452.286.900;0.0317965101034391;28.350.190.111.853.700;1.509.446.416.385.250;5.324.290.279.641.300;4;sector_hotel;71
15/04/2024;1212;243.577.266.273.406;0.02545389900763194;7.900.705.241.227.780;38.429.640.872.990.600;4.864.077.281.665.370;4;sector_restoran;27
16/04/2024;1634;11.018.765.367.514.000;0.05768505000658633;3.531.640.094.080.830;5.007.964.331.117.740;14.180.279.410.439.500;4;sector_reklame;79
17/04/2024;1717;2.232.714.929.088.810;0.03609886533797277;3.344.268.607.263.970;10.110.409.784.002.600;3.023.205.062.548.550;4;sector_restoran;52
18/04/2024;1928;14.076.346.734.738.900;0.06660146304312536;843.549.395.477.979;3.848.519.400.844.360;0.0004562292879913317;4;sector_restoran;98
19/04/2024;1751;46.046.757.580.951;0.020614480738681017;886.509.436.056.751;4.286.858.706.176.790;0.04835660548910806;4;sector_hotel;87
20/04/2024;1393;32.635.632.327.026.700;0.06894469941105895;750.931.445.001.259;28.967.131.759.495.700;3.857.493.510.535.720;4;sector_restoran;48
21/04/2024;1338;672.118.205.622.631;0.0354966875197932;3.981.773.607.928.470;8.202.205.488.527.410;0.2059937680081874;4;sector_reklame;88
22/04/2024;1797;22.118.668.848.408.800;0.010021864099106145;5.872.149.008.564.920;9.778.505.589.894.060;1.665.234.580.326.800;4;sector_parkir;79
23/04/2024;1021;7.801.818.196.664.780;0.021424245190675876;39.431.217.986.524.000;7.905.291.857.501.500;20.048.307.562.305.500;4;sector_parkir;99
24/04/2024;1770;22.175.468.771.104;0.09402538400515847;47.171.299.163.152.300;1.361.958.540.368.310;0.02887261034845958;4;sector_hotel;68
25/04/2024;1868;4.881.890.960.522.270;0.08806191752038221;203.464.894.867.998;39.466.564.115.834.200;19.397.235.155.204.000;4;sector_reklame;44
26/04/2024;1104;3.145.785.495.246.120;0.031024812883261317;13.569.490.977.285.200;2.635.800.596.474.430;0.19424461837858528;4;sector_reklame;17
27/04/2024;1465;4.351.142.854.430.100;0.08005347140909422;301.488.054.185.107;8.199.453.724.663.110;27.196.612.306.333.100;4;sector_restoran;95
28/04/2024;1458;5.123.173.040.609.160;0.06477144338565768;2.678.335.166.629.130;3.617.295.777.790.810;0.013505762172190813;4;sector_hotel;38
29/04/2024;1431;31.253.147.402.226.300;0.09738142403048826;10.642.260.707.852.200;280.241.218.935.412;0.2633286541539439;4;sector_reklame;10
30/04/2024;1769;2.491.029.715.384.620;0.043624509358065326;739.425.380.688.892;30.881.582.617.941.300;0.417642989062267;4;sector_reklame;54
01/05/2024;1715;10.287.594.274.070.400;0.07133145512654541;3.393.004.481.851.050;36.561.430.929.831.200;10.775.532.754.346.700;5;sector_reklame;91
02/05/2024;1821;3.384.193.011.860.110;0.015718215018152674;650.381.692.173.049;11.809.178.963.097.400;18.157.305.325.801.400;5;sector_parkir;6
03/05/2024;1773;6.816.713.084.602.010;0.04566226121347654;6.216.500.829.312.500;63.389.800.491.612.800;10.197.022.767.649.700;5;sector_parkir;6
04/05/2024;1618;2.751.190.484.691.920;0.09674358950693625;17.908.356.355.121.200;7.860.629.273.941.050;438.936.389.139.539;5;sector_parkir;52
05/05/2024;1762;27.893.582.659.659.700;0.058508278700510855;1.261.693.685.799.600;40.365.713.987.897.300;31.993.275.738.964.600;5;sector_restoran;15
06/05/2024;1935;8.934.622.039.647.060;0.03590915530013602;9.043.574.147.010.310;7.898.145.246.927.300;0.8733433395399683;5;sector_restoran;68
07/05/2024;1220;6.110.014.374.467.510;0.020824386681574616;9.955.450.989.628.320;24.749.589.208.147.000;0.2486033956064008;5;sector_restoran;57
08/05/2024;1378;19.094.439.698.662.700;0.07331755061633774;3.042.487.692.548.870;24.500.661.258.897.700;8.052.838.247.760.360;5;sector_reklame;56
09/05/2024;1221;6.612.203.381.530.140;0.06803704390867542;23.769.127.113.656.700;17.543.514.002.712.200;0.7380798595936876;5;sector_parkir;7
10/05/2024;1257;22.655.666.473.710.600;0.04365448422433972;15.899.923.328.412.200;2.025.364.582.847.020;1.273.820.345.553.370;5;sector_reklame;51
11/05/2024;1712;284.130.629.497.277;0.09558472166792509;14.228.438.809.910.800;15.365.950.505.689.300;10.799.463.462.559.300;5;sector_reklame;58
12/05/2024;1366;18.121.829.788.127.900;0.011998253168906528;6.250.427.448.604.270;6.476.397.039.212.680;10.361.526.619.525.600;5;sector_hotel;64
13/05/2024;1769;1.688.242.172.896.920;0.037335146646864326;31.856.485.407.954.000;7.424.624.896.848.160;0.2330647841960107;5;sector_reklame;26
14/05/2024;1348;481.722.764.283.061;0.09289625376696233;3.968.770.275.375.050;7.327.522.953.785.800;18.462.955.639.561.000;5;sector_restoran;58
15/05/2024;1224;5.837.366.287.573.230;0.03888418944874964;35.978.398.149.297.100;13.814.775.469.612.800;0.38397416728467476;5;sector_parkir;31
16/05/2024;1713;4.747.841.402.990.480;0.032702755046965334;9.925.278.314.426.390;28.874.929.089.068.700;0.2909231174615936;5;sector_parkir;66
17/05/2024;1737;34.902.189.445.909.500;0.05807983689381226;2.887.020.773.901.990;16.912.583.748.302.300;0.5858144112154717;5;sector_reklame;92
18/05/2024;1235;6.663.330.779.752.950;0.08414215749284841;2.405.479.432.520.590;4.001.413.701.525.130;0.16634578734818908;5;sector_restoran;13
19/05/2024;1182;28.386.936.544.120.000;0.019283208479052495;19.125.479.843.907.400;14.889.442.533.082.100;0.07785134101001527;5;sector_restoran;18
20/05/2024;1711;14.197.908.905.001.000;0.09487186386811626;17.232.384.450.370.100;57.502.885.683.001.500;0.03336908240911864;5;sector_restoran;94
21/05/2024;1868;27.513.902.963.202.400;0.08155655930630476;16.422.183.246.813.800;12.635.003.287.042.700;0.07693863292808033;5;sector_parkir;75
22/05/2024;1757;24.811.079.318.432.200;0.026312522999639675;7.767.346.865.822.550;19.771.574.574.159.600;25.454.733.663.507.900;5;sector_restoran;13
23/05/2024;1443;9.293.695.917.333.560;0.07408071650783464;7.364.274.651.875.710;12.384.772.621.026.600;16.817.369.267.823.400;5;sector_restoran;24
24/05/2024;1864;12.077.356.751.695.000;0.04464628503738015;5.823.813.595.057.770;525.475.454.448.576;0.9022875575799792;5;sector_reklame;57
25/05/2024;1622;4.306.884.799.397.050;0.04620652102686869;2.158.690.728.995.840;9.800.133.208.444.450;4.539.850.510.685.770;5;sector_hotel;29
26/05/2024;1005;9.708.093.990.791.690;0.08049610831949798;4.573.957.994.107.260;7.319.366.049.857.700;0.1600225900475565;5;sector_restoran;56
27/05/2024;1235;614.785.451.602.568;0.0966506327182659;5.574.648.909.957.280;11.858.537.868.606.400;0.2127225958109236;5;sector_reklame;54
28/05/2024;1126;5.462.340.256.627.760;0.021399028556247455;10.428.920.029.138.000;6.590.110.205.961.650;0.6319072528650244;5;sector_reklame;5
29/05/2024;1103;3.674.222.480.442.640;0.04785672131909375;4.688.977.513.824.050;8.607.587.338.145.090;0.18357066786454368;5;sector_restoran;35
30/05/2024;1748;20.184.243.240.426.400;0.053284744727587326;9.487.610.527.691.910;45.585.684.145.252.700;0.04804759218582992;5;sector_hotel;19
31/05/2024;1914;40.359.039.508.045.300;0.04386806352594979;6.571.200.967.273.670;61.992.279.521.697.700;0.9433934501537207;5;sector_parkir;55
01/06/2024;1479;9.111.902.923.076.140;0.04268702113446026;12.510.188.141.670.800;3.298.431.075.223.230;0.02636595899174618;6;sector_hotel;77
02/06/2024;1154;39.029.628.791.392.900;0.014704180080543689;3.792.267.988.822.040;1.193.453.262.679.500;314.706.994.916.309;6;sector_restoran;69
03/06/2024;1256;10.199.797.589.403.000;0.0716984758506361;40.472.969.445.769.100;18.782.362.517.274.300;4.640.717.687.502.850;6;sector_hotel;44
04/06/2024;1234;7.941.724.001.755.110;0.04925929754080409;11.923.976.840.322.400;15.581.832.899.353.500;13.067.647.738.681.800;6;sector_reklame;78
05/06/2024;1499;1.080.659.625.182.940;0.02753144223795341;18.612.710.636.524.200;4.209.586.388.137.260;0.022616729343423393;6;sector_reklame;38
06/06/2024;1288;736.720.140.363.668;0.08344301520718615;10.741.256.937.220.800;14.875.407.408.824.400;0.013848851671425771;6;sector_hotel;62
07/06/2024;1509;34.588.123.901.775.600;0.08223046733364651;1.408.747.224.556.100;6.485.580.338.408.700;4.603.792.806.372.550;6;sector_parkir;22
08/06/2024;1551;5.448.638.431.394.110;0.05377524652800045;5.200.204.341.410.300;48.700.083.356.259.900;0.9365032633131561;6;sector_hotel;73
09/06/2024;1799;17.497.196.832.088.300;0.03686055950329845;2.478.088.735.905.720;15.870.597.228.237.000;0.6404370028515721;6;sector_restoran;40
10/06/2024;1708;29.557.251.790.876.700;0.06742834532168072;3.650.950.304.831.020;22.956.960.276.288.600;0.6287941045352349;6;sector_parkir;26
11/06/2024;1784;12.157.894.108.001.900;0.03593369221996628;7.729.377.191.905.620;22.732.192.652.523.300;0.029410122042341277;6;sector_hotel;5
12/06/2024;1893;5.420.807.682.032.100;0.031240713729134083;1.991.823.692.822.880;10.026.543.975.158.300;5.033.851.144.198.570;6;sector_hotel;93
13/06/2024;1775;579.052.445.262.367;0.0757463188623694;14.942.793.079.971.100;8.497.405.694.366.260;56.866.247.487.264.700;6;sector_parkir;54
14/06/2024;1568;1.741.614.236.990.320;0.013629271574885565;15.356.424.843.497.200;12.861.026.424.006.700;0.0083750134260272;6;sector_hotel;86
15/06/2024;1297;18.000.625.236.283.000;0.018529162393113457;8.292.341.553.424.570;1.391.991.525.592.870;16.786.471.186.995.500;6;sector_restoran;49
16/06/2024;1609;7.715.908.797.821.560;0.01061093566212308;2.647.034.290.665.240;32.204.395.473.788.000;12.166.217.712.916.100;6;sector_reklame;3
17/06/2024;1136;4.732.398.994.576.060;0.023764886782788354;31.676.086.432.483.200;4.690.665.691.843.800;14.808.223.553.253.100;6;sector_restoran;92
18/06/2024;1375;2.330.778.987.875.780;0.016209100783941353;1.165.975.700.219.500;6.232.231.844.969.290;0.5345078669989465;6;sector_hotel;38
19/06/2024;1086;23.068.234.007.437.400;0.09962221310019267;2.738.463.013.514.480;613.918.607.089.269;22.418.364.026.081.100;6;sector_reklame;14
20/06/2024;1418;8.502.917.247.295.620;0.03599289729586807;14.847.666.591.559.300;6.433.132.579.203.760;4.332.756.625.112.320;6;sector_parkir;47
21/06/2024;1753;4.541.520.830.538.510;0.02343412114023226;31.068.791.646.125.800;13.518.502.946.928.900;4.351.151.824.926.110;6;sector_restoran;14
22/06/2024;1198;38.024.037.570.255.500;0.03168966321963262;5.277.855.822.174.200;7.246.372.845.615.900;0.13729766575227836;6;sector_parkir;75
23/06/2024;1462;11.520.700.633.882.400;0.09425130143861213;5.063.910.065.218.350;213.092.963.066.693;0.00420807163480903;6;sector_reklame;73
24/06/2024;1436;22.473.729.630.428.500;0.05681442007219562;24.585.587.692.534.400;4.164.019.932.660.080;0.1693683301263738;6;sector_hotel;38
25/06/2024;1309;20.683.978.768.062.700;0.042833628667707124;3.572.601.560.765.890;8.032.143.144.488.910;22.482.616.681.069.100;6;sector_reklame;64
26/06/2024;1595;9.531.308.962.065.320;0.08860523121182974;39.011.700.509.094.800;3.760.187.600.527.380;9.638.614.957.711.880;6;sector_reklame;44
27/06/2024;1753;21.088.923.834.473.300;0.045549124349412926;39.803.920.734.689.000;5.057.418.807.321.950;12.705.830.767.355.600;6;sector_parkir;70
28/06/2024;1280;35.007.327.057.710.700;0.04015077129619263;9.740.294.364.395.310;1.729.837.693.955.040;17.759.603.860.416.100;6;sector_restoran;65
29/06/2024;1322;5.935.318.757.329.090;0.028655427029476203;7.897.323.310.421.850;2.558.915.206.409.330;0.3240231032497319;6;sector_reklame;25
30/06/2024;1763;25.715.817.716.269.800;0.04400171415184704;26.297.297.344.423.600;12.695.892.184.703.500;0.0482783155182133;6;sector_hotel;16
