tanggal,wp_id,omset,target_pajak,Pajak_dibayar,rasio_pajakdibayar,bulan,kode_sector,nama_kecamatan,nama_sektor
2023-03-05,1826,8101307.022113379,723955.6887247148,29700.574307416475,0.6716797138125878,7,1,Palasah,sector_reklame
2024-08-05,1152,7724579.27855291,495597.357543163,24106.544376642316,0.3172070302280544,3,4,Palasah,sector_restoran
2024-09-18,1016,2307477.0003980454,432501.48994011316,63841.015294586396,0.05934840537330978,12,3,Kertajati,sector_hotel
2021-06-06,1550,6200172.907909377,410895.3079463552,37877.581398241,0.8335517052574541,10,3,Bantarujeg,sector_hotel
2021-10-21,1844,2510217.941942776,505120.0582487659,62673.917643428154,0.31722670706321743,11,4,Sindangwangi,sector_restoran
2022-08-08,1347,9883646.841333428,367528.76620350964,30569.05227843831,0.07247417261009163,2,1,Sukahaji,sector_reklame
2022-06-28,1458,9526026.39349562,749024.548499986,61830.033858115305,0.08404028285783653,6,2,Malausma,sector_parkir
2021-03-17,1201,5676320.733154143,874397.7545649251,27647.051432445132,0.2592412108008661,11,2,Majalengka,sector_parkir
2020-02-07,1422,7019135.461752015,883002.421338539,5192.109675007105,0.186235787749311,4,2,Cikijing,sector_parkir
2023-05-16,1279,8034160.783865586,228471.0147124001,91222.37660212602,0.7765571166023494,12,2,Maja,sector_parkir
2020-07-28,1421,7237884.358444548,896013.2295927593,88332.19966715887,0.32846720620036407,11,4,Sukahaji,sector_restoran
2021-05-27,1599,7028304.041715967,342209.68062324997,97082.73511233993,0.8066488271894342,5,1,Leuwimunding,sector_reklame
2023-10-15,1992,9589684.678700328,309998.3578198124,71681.06490451834,0.18210753784492129,6,1,Palasah,sector_reklame
2024-05-19,1464,6004915.452442105,727029.3013408376,68303.84565575677,0.4979503877486429,3,3,Cingambul,sector_hotel
2022-10-21,1952,6399396.4510086505,305391.64374620316,55944.40670047559,0.6911567622175975,1,3,Bantarujeg,sector_hotel
2024-11-13,1811,8507760.629337994,53913.4392041004,12681.647393617015,0.6554709453271963,3,1,Cingambul,sector_reklame
2022-09-07,1803,6731919.591798227,374244.15453799773,19004.607563832076,0.6051181158309661,3,3,Kertajati,sector_hotel
2021-01-15,1354,7356032.957973473,721744.1347579906,29018.021898386367,0.9255733859118581,6,1,Panyingkiran,sector_reklame
2022-04-07,1581,2418269.99334676,327631.46184990637,89026.6206210821,0.23623989622967692,4,4,Kasokandel,sector_restoran
2024-04-09,1377,3775542.548739202,629929.4969391513,17379.655507847205,0.4987820124174843,7,4,Dawuan,sector_restoran
2022-05-08,1123,1558283.3225477408,660459.3248188673,92295.03013134027,0.8851526245716846,11,2,Talaga,sector_parkir
2021-01-28,1079,5107077.879114574,734002.2757146298,52326.29473183658,0.08711482793920547,2,1,Argapura,sector_reklame
2022-12-09,1556,4611701.266734438,897233.3358446255,71585.4065837599,0.06532938557054449,12,4,Maja,sector_restoran
2021-01-30,1987,9971911.861366622,433131.934769163,11113.424219388595,0.2409692646827085,4,1,Maja,sector_reklame
2024-11-11,1232,6150965.662873871,167265.64458579462,26976.451522713498,0.6366910073426383,8,3,Majalengka,sector_hotel
2020-02-01,1479,7885803.749624791,319606.78971645754,95856.00895732449,0.26728083018530885,11,1,Ligung,sector_reklame
2021-06-28,1153,3406745.240500777,432735.08791881194,26688.379698280165,0.198337484970711,6,2,Rajagaluh,sector_parkir
2021-12-12,1906,8332298.780293685,714177.5778587849,29722.519867075494,0.46421429220470917,10,2,Jatiwangi,sector_parkir
2023-06-11,1691,6189341.168228066,14109.00343607187,19839.97874562384,0.6174620880817173,3,4,Cikijing,sector_restoran
2022-11-15,1408,7000224.08282454,316469.5980564391,12994.459164152267,0.25607212994657297,10,3,Panyingkiran,sector_hotel
2024-04-26,1030,3014864.701699598,780062.7384382975,23402.438381254397,0.3076842748565046,12,3,Jatitujuh,sector_hotel
2023-12-28,1596,5531520.077786214,671186.8456273647,64268.45650588476,0.6174237117633987,2,1,Rajagaluh,sector_reklame
2022-12-20,1556,6376966.036794726,732008.2336120196,45591.236577006,0.9462810377695582,3,3,Argapura,sector_hotel
2021-07-06,1502,5932037.290584153,811998.9586697555,55420.20805015607,0.6779943101637074,1,2,Dawuan,sector_parkir
2024-01-04,1370,9160417.743103208,783452.4831590843,12324.246393725825,0.7850751021487143,1,4,Kasokandel,sector_restoran
2023-02-27,1322,8992899.378476279,682500.9829866253,80231.43307157372,0.3731419938079141,2,4,Panyingkiran,sector_restoran
2023-10-09,1331,9712742.172981018,440221.87083822,78431.06058792681,0.2795318157906214,3,4,Talaga,sector_restoran
2020-07-16,1242,6707537.259469194,983614.7305492758,2256.8321231532714,0.4597250657705963,9,3,Rajagaluh,sector_hotel
2022-03-09,1551,9721949.888244277,569504.1223944837,38413.15794157947,0.8090615004245569,8,3,Lemahsugih,sector_hotel
2024-08-13,1429,8341532.200315897,203566.44015947028,6970.183136917667,0.46173664537265025,12,2,Sindang,sector_parkir
2024-10-05,1181,2781238.189365597,293520.0422496796,79231.36736355431,0.8482581547019624,11,1,Lemahsugih,sector_reklame
2021-11-24,1808,4331613.128557841,693868.8935144995,73753.24134425787,0.9888842608881758,11,1,Dawuan,sector_reklame
2023-10-26,1472,2460085.177671197,924814.825634264,90208.6106198863,0.08130639907303297,9,4,Kasokandel,sector_restoran
2024-10-08,1375,141551.89222259552,179541.40907669163,23716.75549941615,0.05495605452286666,7,4,Malausma,sector_restoran
2020-05-26,1080,1961682.6561543953,83264.14925004056,45683.95872446711,0.15809380588422822,7,3,Argapura,sector_hotel
2024-10-05,1549,140199.80424006912,881649.5169939641,18530.338928723333,0.39052597897700275,5,4,Kertajati,sector_restoran
2021-05-12,1867,7226400.7673698515,915362.7009339215,37186.36995396454,0.1397317870539781,7,2,Bantarujeg,sector_parkir
2020-02-17,1419,4312789.547439876,277102.96597058355,52272.10083153171,0.8719578328425684,4,2,Talaga,sector_parkir
2022-02-08,1466,3194489.7980707968,377908.4386468686,5427.745904875038,0.032914788516793164,5,4,Argapura,sector_restoran
2021-10-12,1427,7641036.82184236,660527.8095003605,71515.55402667078,0.3226347891724643,12,4,Cigasong,sector_restoran
2023-04-10,1056,8341619.068734486,330600.0908216323,54375.006701070415,0.1928476831992633,1,4,Cingambul,sector_restoran
2021-09-04,1321,9755465.432633812,877281.5495617829,82913.00581934626,0.932223936855957,11,4,Cikijing,sector_restoran
2021-11-29,1976,6455934.488284888,108471.12401114886,27250.872069000605,0.6727861948411277,4,4,Kasokandel,sector_restoran
2023-08-31,1541,4669136.689546512,38944.238739235014,90341.77841639852,0.9129099538868607,3,2,Panyingkiran,sector_parkir
2021-01-10,1494,3122116.5859136153,209277.72053604672,99869.5558777413,0.9726054232072894,2,1,Sindangwangi,sector_reklame
2022-03-16,1265,2300950.2712208405,286801.690426764,91937.91399392967,0.5021272612405955,2,2,Lemahsugih,sector_parkir
2022-07-09,1226,2207966.909777752,113813.66469758618,77811.4583357321,0.241975916967546,8,2,Kasokandel,sector_parkir
2022-05-24,1828,4150974.8097260077,66624.73891130608,81255.6434070907,0.2017914983346234,1,4,Cingambul,sector_restoran
2024-04-05,1958,9918684.917350505,755852.1057882964,57417.04983020419,0.2306896730689821,8,1,Palasah,sector_reklame
2022-03-20,1803,108451.60463029234,165112.2893363551,19096.37090496979,0.7115073745457828,9,4,Sumberjaya,sector_restoran
2023-12-14,1053,2052338.3825869078,914008.2768672378,67736.36444625696,0.05004127084177073,6,2,Ligung,sector_parkir
2022-06-23,1608,1965090.5257953808,368631.6617866479,71304.02490578716,0.06084746230238772,1,1,Rajagaluh,sector_reklame
2023-11-20,1960,7199482.906769694,670935.203911624,98539.97551276378,0.6120615129593185,10,3,Lemahsugih,sector_hotel
2024-03-25,1977,3589598.803220812,226176.71265403143,54176.00149400655,0.6456365752700325,12,4,Kadipaten,sector_restoran
2023-04-25,1003,4626881.9654590245,241082.44572337499,27209.764601003135,0.6686102950792354,7,3,Argapura,sector_hotel
2022-10-02,1438,1571378.8916520593,575134.4936647078,68398.88492177673,0.37816169954270534,5,3,Lemahsugih,sector_hotel
2024-07-26,1309,4109470.684881782,561082.2822208401,97939.64438467882,0.8078854398270117,9,3,Cingambul,sector_hotel
2020-02-02,1878,1121678.137867777,768960.4987840692,17803.66943608249,0.5382883418493514,7,3,Rajagaluh,sector_hotel
2020-03-09,1602,5377128.550096973,758055.4923885717,32667.192061706708,0.11441097370932524,5,1,Talaga,sector_reklame
2021-08-14,1088,1069589.817290274,671017.0768989974,54233.90728189084,0.7991283139966717,2,4,Sukahaji,sector_restoran
2023-04-29,1319,7926032.973614247,449681.4353275975,17104.442024712283,0.9535371084077537,4,1,Panyingkiran,sector_reklame
2020-04-10,1374,5709357.003650846,890749.7458943365,2319.8418880418417,0.06943594987233509,2,4,Kertajati,sector_restoran
2024-02-17,1603,7267281.950357817,622955.9117310775,33764.61393188094,0.39743782531357413,9,4,Majalengka,sector_restoran
2023-08-01,1500,4243312.22786157,990208.2919718948,86550.5430699557,0.4926408843864002,2,4,Malausma,sector_restoran
2022-07-02,1661,3876763.8030980504,819550.4481164243,4442.493092439111,0.15500605247753377,2,1,Sukahaji,sector_reklame
2022-01-02,1233,1072268.0015837497,45265.5014270879,42950.01299579006,0.8690318583050484,2,2,Talaga,sector_parkir
2021-01-24,1920,5286170.509723944,321273.31317323743,76243.85721531564,0.2913081484411436,1,3,Jatitujuh,sector_hotel
2024-05-07,1336,5193571.43208521,572303.8407544808,95322.94143139744,0.7851784545387785,9,2,Leuwimunding,sector_parkir
2020-06-08,1570,4734210.240051093,721748.0683336157,98548.99236054278,0.6742845372080328,8,2,Cikijing,sector_parkir
2022-06-10,1184,7431131.810356247,550786.1612641795,42254.74112281329,0.6020653642423532,2,2,Sindang,sector_parkir
2024-04-26,1437,8341793.560320309,786344.2920397196,95043.39100847385,0.20022142020958886,2,3,Banjaran,sector_hotel
2022-12-06,1555,7532817.78199023,283372.99710458727,3638.3554307582876,0.22849648534539665,5,2,Sumberjaya,sector_parkir
2023-03-28,1179,1524270.853787754,184728.13918159224,74617.10210605577,0.056874920699103625,12,3,Sindang,sector_hotel
2024-01-09,1075,6258389.14189287,54862.76710598033,64310.32885989793,0.2483053054844437,12,3,Sumberjaya,sector_hotel
2021-11-26,1655,895198.7463263805,573740.4308269506,25027.233572856614,0.35198917336590896,4,3,Kasokandel,sector_hotel
2022-01-27,1612,6976760.645660717,688910.9211548198,50781.118217896925,0.8348138508238011,2,4,Talaga,sector_restoran
2021-06-06,1892,3880207.0559551544,326823.5674022422,13042.418402273512,0.37272874004765727,8,4,Bantarujeg,sector_restoran
2024-08-16,1271,1411739.6670362374,613970.6006710208,87172.55538006095,0.7570755649379504,8,2,Sindang,sector_parkir
2022-01-01,1976,8634303.484063666,53105.07362247591,35854.01874601023,0.4450478584825327,4,4,Talaga,sector_restoran
2020-06-03,1054,6178682.55648548,100194.05295050684,62641.84259952508,0.7870196288739495,4,3,Maja,sector_hotel
2020-12-04,1700,3611777.182680522,702053.0174862399,15961.7510000975,0.9765088844326695,9,4,Rajagaluh,sector_restoran
2023-10-20,1862,404199.0785399454,368701.63551208144,20695.86797865759,0.24744314247700433,4,3,Maja,sector_hotel
2022-03-05,1846,5419371.564135744,671662.6970719026,99196.44144323489,0.8637181958442374,10,1,Jatiwangi,sector_reklame
2024-09-18,1076,9239936.197013702,831889.3991596381,75333.3308046888,0.6256058454427169,11,4,Lemahsugih,sector_restoran
2024-05-16,1295,6004160.343753421,852769.8150386408,96200.98979042967,0.8191213189727683,9,2,Kadipaten,sector_parkir
2023-03-17,1218,9719340.985732982,172995.47781898652,29655.53140468321,0.6550700432451272,3,1,Majalengka,sector_reklame
2022-06-17,1276,1450866.0708775395,486799.2867789952,16539.831374320056,0.42971001220140864,2,1,Sumberjaya,sector_reklame
2023-03-13,1577,5726220.535488885,734192.7969088539,50356.53950153521,0.23579419004737245,11,4,Rajagaluh,sector_restoran
2020-04-12,1647,8001437.975263651,774206.6156706435,49517.3613945116,0.07933487307785336,8,4,Majalengka,sector_restoran
2022-03-22,1745,5302853.2381445905,784891.3047481487,17577.15672442299,0.5401631808161098,12,2,Kadipaten,sector_parkir
2020-04-02,1710,1001556.9242759787,228939.16704620386,73348.63500118288,0.990422833581597,3,1,Jatitujuh,sector_reklame
2022-09-01,1265,5870571.415317455,193342.28290604957,36241.575690429534,0.7406613869640641,2,3,Dawuan,sector_hotel
2023-08-02,1952,6156205.267840469,590422.4558054223,18717.886569958675,0.33407208598502647,11,4,Leuwimunding,sector_restoran
2023-12-18,1899,7314221.55990599,741344.7119404814,33265.14111487451,0.8289327520858679,8,1,Sindang,sector_reklame
2020-04-28,1042,7635994.0001381915,319820.3760186591,56409.50409353801,0.7712941601746425,8,1,Malausma,sector_reklame
2020-01-29,1360,7730649.613285011,105600.45170555913,72674.44612482628,0.2888194354199222,5,3,Rajagaluh,sector_hotel
2022-10-09,1227,6668099.497025764,717029.6365271674,48240.89951714271,0.024164414896292338,9,1,Palasah,sector_reklame
2024-03-14,1226,2236530.745544716,300398.1335486245,52606.93948385451,0.1269810121486101,11,4,Malausma,sector_restoran
2022-11-19,1062,4101933.9828108456,167196.36158741012,13980.699000680564,0.878533128408937,6,3,Leuwimunding,sector_hotel
2022-05-21,1170,7783686.728882547,148575.80486873453,91477.6233783524,0.838197404951823,5,4,Kadipaten,sector_restoran
2023-10-21,1962,9538927.13566805,315594.6379791896,92879.54737940524,0.30225691086957884,12,2,Argapura,sector_parkir
2022-03-10,1761,881574.9518825578,593085.3878478317,68374.31638275857,0.29234347202157623,3,1,Jatiwangi,sector_reklame
2023-03-07,1849,5401813.110192229,359043.8364551228,1861.3777525090682,0.7949363372314464,7,4,Malausma,sector_restoran
2021-04-19,1761,3193970.4861106337,21641.18974183816,53753.71416874227,0.9383600951964678,9,4,Lemahsugih,sector_restoran
2021-07-16,1306,2331399.5537366145,97811.52624313327,62958.975311652495,0.7813458842296239,4,2,Majalengka,sector_parkir
2023-11-16,1749,5107525.766845179,291212.7439514205,99465.95687351518,0.6095228902604539,11,1,Sindangwangi,sector_reklame
2021-03-10,1567,6100284.471509714,660044.7776649448,99607.0888239602,0.25024463682848647,7,4,Sumberjaya,sector_restoran
2022-03-14,1682,196745.09105286436,99416.5583950653,85775.36240902319,0.530490434954308,12,3,Sindang,sector_hotel
2023-06-11,1919,7824045.06479179,561096.1966471812,6476.716103408742,0.24117674000733197,3,4,Maja,sector_restoran
2020-02-24,1991,8216833.099468532,120765.98495318026,95332.31143879512,0.8099313058958059,11,4,Sukahaji,sector_restoran
2022-07-19,1033,9658557.163222536,212403.7120220321,61304.85859048471,0.3930914687225599,2,4,Kasokandel,sector_restoran
2023-08-08,1826,1888372.95892448,173016.33902820697,80108.58837087003,0.835360244824086,11,4,Sindangwangi,sector_restoran
2022-01-21,1641,5986070.3673733855,68161.40693523968,40778.56568361677,0.38779312580289804,1,1,Jatiwangi,sector_reklame
2020-11-07,1129,4323591.197416306,671658.4875692037,32034.980176335517,0.8259079111478924,6,4,Dawuan,sector_restoran
2024-04-20,1393,3414795.7303979713,463940.14383864845,46378.09013383242,0.33998463701358955,5,2,Sindang,sector_parkir
2023-01-17,1150,5699771.1692312965,831222.387456441,14772.763845585809,0.44573137757149317,2,4,Argapura,sector_restoran
2023-05-20,1654,7845592.622913147,99791.94914233465,35770.90726145528,0.619333535149231,3,3,Jatiwangi,sector_hotel
2022-08-14,1629,328222.5561075801,145588.20040473418,85775.98822685103,0.07958473788961948,9,3,Kadipaten,sector_hotel
2020-11-13,1715,9697061.114405248,307151.27361910016,3891.2535774620605,0.9487249911973098,3,4,Maja,sector_restoran
2022-01-26,1383,8117827.698486537,766100.1209518693,15172.716877777988,0.5778697282625652,7,4,Rajagaluh,sector_restoran
2021-04-09,1746,7536421.666091226,306453.0643325431,12599.104348983605,0.5127418145438942,1,2,Malausma,sector_parkir
2023-01-15,1016,7627835.083586984,409010.28879119386,40367.24671575278,0.8410000314087129,7,2,Leuwimunding,sector_parkir
2023-12-03,1593,3951701.0252246605,302301.9627308674,99698.99139899708,0.8671051025978593,9,1,Kasokandel,sector_reklame
2023-06-17,1013,7541043.453363656,81144.06750922893,17418.45722811713,0.5270378004837258,12,1,Sukahaji,sector_reklame
2021-11-30,1080,3929025.0651692804,939494.1892732912,14633.71669496609,0.9279897025357009,11,3,Cigasong,sector_hotel
2022-12-16,1206,8997197.612790452,548990.4530791177,91514.06740463783,0.07409038841571582,8,4,Palasah,sector_restoran
2023-02-10,1203,1854501.5947340496,788045.3549973113,88216.84664489997,0.12209353432870536,7,4,Lemahsugih,sector_restoran
2022-01-04,1378,2994239.49973,658698.7350931107,3320.812962655789,0.6008203477142957,10,2,Argapura,sector_parkir
2022-12-29,1783,5558241.672720853,514740.0247829131,75195.42542191358,0.36052520317564785,8,2,Rajagaluh,sector_parkir
2022-01-08,1543,3260189.255283998,90588.57840272074,65581.02357749532,0.4695829145273069,4,1,Palasah,sector_reklame
2022-02-06,1022,4299948.728423207,643090.811725034,76797.30690428562,0.3347984257181949,2,1,Ligung,sector_reklame
2024-09-11,1613,4974984.625046087,156214.9855808953,49500.79523411262,0.41067805833048626,11,3,Panyingkiran,sector_hotel
2023-04-22,1161,8577898.153253736,414968.78618692036,99138.78392298473,0.8244198836748364,9,2,Ligung,sector_parkir
2024-09-22,1609,5279603.310726059,629484.03033695,4480.317169225223,0.5975414378557616,3,4,Sumberjaya,sector_restoran
2022-01-13,1143,3688352.501284149,782446.7714716513,23513.72148174019,0.9973711037906633,11,2,Kasokandel,sector_parkir
2020-10-02,1929,2552588.0239476464,685360.1305329109,39714.94409866415,0.7890104058427533,4,2,Sindangwangi,sector_parkir
2020-08-20,1103,4145892.1900427523,671861.9955255742,45032.816362413745,0.2809295915608084,7,2,Cikijing,sector_parkir
2020-02-23,1381,5205787.433702262,149893.1669660323,92144.60352968192,0.2717016665494293,2,1,Sukahaji,sector_reklame
2020-09-13,1454,7486537.08631204,346782.4115315163,56044.435971318155,0.34253928741583706,8,4,Sindang,sector_restoran
2020-03-30,1416,1298382.884106153,43869.360387533954,4606.588452487349,0.8448268858412653,12,4,Kadipaten,sector_restoran
2024-10-27,1323,2293930.9635675936,719757.4162832882,40845.51004622362,0.037014774144059945,10,1,Malausma,sector_reklame
2024-11-17,1170,3858574.7570998645,952633.3953361016,41707.39219567009,0.23787946608254515,8,1,Dawuan,sector_reklame
2024-08-13,1575,3667944.2106831945,264846.27978889673,96552.54474993469,0.9058692361408243,12,4,Argapura,sector_restoran
2023-12-29,1755,3978306.067291596,88609.012453147,59959.78939300871,0.6434974717224194,5,3,Bantarujeg,sector_hotel
2024-07-06,1582,7955860.519939213,476094.50667689997,63601.542008777986,0.23457862454604586,9,2,Argapura,sector_parkir
2021-02-11,1273,3309128.589325514,856841.5249044412,71353.97782200195,0.22695351855025453,8,4,Majalengka,sector_restoran
2023-07-16,1451,5068791.98598638,552422.2210765079,77026.92763664412,0.8639919207418363,1,1,Ligung,sector_reklame
2024-08-19,1880,6276679.625293176,47730.37303992319,63541.60191322867,0.894819933194276,9,4,Cikijing,sector_restoran
2020-12-31,1124,2398567.6468176907,974297.9682874181,23795.715678280158,0.26356978005249415,5,2,Sindang,sector_parkir
2020-12-16,1382,7215084.332760635,828821.2600526381,87417.1868426823,0.42630525449576695,9,4,Maja,sector_restoran
2023-08-15,1316,5516402.065408981,132462.48297445866,73238.76806102195,0.836249781242034,9,1,Kertajati,sector_reklame
2023-03-28,1842,4523133.514010643,921875.9587470054,74212.8614611859,0.7732973642237866,10,3,Palasah,sector_hotel
2021-05-01,1106,8116861.864709307,451237.6003165834,99656.01824955145,0.8157769455004237,10,1,Leuwimunding,sector_reklame
2022-04-21,1659,2510603.0659333016,372526.09258436627,80272.40083284526,0.5232142088800891,3,3,Bantarujeg,sector_hotel
2022-09-10,1906,8843442.1090818,461592.27719666105,82932.22517519981,0.9124335578221214,8,2,Palasah,sector_parkir
2024-10-26,1462,5654382.480130367,834737.3849140763,95145.41101944483,0.33269202851489094,7,1,Argapura,sector_reklame
2024-03-29,1429,6130831.305858616,659820.198608499,15198.286584904497,0.16510541300404286,7,4,Rajagaluh,sector_restoran
2023-10-10,1703,8763083.745272534,60189.203947327806,49822.96491015898,0.7116450092392161,12,1,Argapura,sector_reklame
2021-09-12,1336,8194068.609708426,957646.7667450547,58098.64565671968,0.5439608718468274,10,1,Talaga,sector_reklame
2022-07-18,1737,6055464.481336813,148636.34934483943,32994.64534932352,0.8560399111213862,2,2,Kadipaten,sector_parkir
2021-02-04,1753,7556558.268096924,745822.3837836157,83956.3940550611,0.09034765663346779,2,3,Bantarujeg,sector_hotel
2023-11-29,1495,4389862.953305678,636500.3938977029,76265.72020240777,0.8452554794036862,2,3,Lemahsugih,sector_hotel
2023-01-24,1971,5519039.759647488,188340.5198986143,72116.2191433616,0.300361706676734,11,4,Cingambul,sector_restoran
2024-09-26,1361,714494.3534142602,171561.34403693659,99715.22903184086,0.6583071104965011,2,1,Kasokandel,sector_reklame
2021-07-23,1795,989593.3882004636,870457.2661109874,26012.199203498214,0.04972750118747323,4,2,Cingambul,sector_parkir
2022-09-01,1431,8311311.501444687,420275.2285760975,73572.17944237459,0.6134854833405647,7,3,Bantarujeg,sector_hotel
2021-01-26,1674,690749.3912567169,654921.9376599644,55185.30704309947,0.7200989722954626,2,4,Maja,sector_restoran
2020-12-17,1519,1777051.3437628122,504566.9328528166,31367.61933113822,0.3750627123605641,5,3,Jatiwangi,sector_hotel
2022-03-16,1858,7978743.323609371,727626.1635588836,16142.62838524027,0.22325659820951885,7,4,Jatitujuh,sector_restoran
2024-08-16,1405,111344.91121973725,479763.1326642912,89598.79532304796,0.5422543698375095,9,3,Bantarujeg,sector_hotel
2021-07-29,1376,2895802.8555740565,288092.5353403128,59586.002722513746,0.8348588963912901,8,4,Cikijing,sector_restoran
2024-08-20,1151,5881982.712483556,364019.98762549995,82510.89038031538,0.33031188471368433,9,3,Rajagaluh,sector_hotel
2022-02-15,1321,5994954.321546036,859218.6167558923,54579.96390175433,0.25994460454606677,7,3,Leuwimunding,sector_hotel
2021-09-24,1606,7793813.791471789,468566.6582298043,22075.710357336553,0.2861459555513108,3,1,Cikijing,sector_reklame
2023-08-04,1213,5108669.919472488,214235.88291236467,33821.12642872249,0.9496408313874978,1,4,Palasah,sector_restoran
2021-06-06,1575,5143078.508356607,934670.782689176,38215.7303631073,0.36568414660691406,10,4,Cikijing,sector_restoran
2021-12-26,1064,7280574.697852935,796803.8560418786,97296.18776911986,0.013568197489404304,7,1,Rajagaluh,sector_reklame
2020-06-10,1892,5036382.186336207,56610.47991014293,662.7645103001119,0.7838643958800235,11,1,Panyingkiran,sector_reklame
2024-06-28,1269,6124061.756979806,998944.0190185372,98568.03570014825,0.7022820473820363,6,3,Panyingkiran,sector_hotel
2021-10-20,1536,8987963.275725005,695231.7697436622,98048.11734747209,0.1372825819569392,2,3,Banjaran,sector_hotel
2023-04-20,1995,4074364.9753624825,161106.33244154634,99615.46397396064,0.9850552066435634,1,3,Sumberjaya,sector_hotel
2022-04-29,1099,3912738.2021002998,237930.51361729784,47711.159074071504,0.6119816624520601,12,1,Dawuan,sector_reklame
2024-04-21,1104,135135.019461236,692753.0357603054,96384.51606513785,0.5057716960311954,10,3,Argapura,sector_hotel
2020-03-22,1130,6172919.989060196,779981.2942238429,39620.35826679775,0.38839707494666215,4,1,Rajagaluh,sector_reklame
2021-06-07,1388,394741.8833306066,239796.90720665632,2726.814622771832,0.8996860280080016,4,3,Malausma,sector_hotel
2020-01-04,1320,5091070.048310331,257711.88504537154,22512.283918539277,0.25152384660437765,6,1,Kadipaten,sector_reklame
2021-05-09,1437,8061914.511419044,307813.5741771888,94535.09486924473,0.29291121121770286,11,4,Cingambul,sector_restoran
2024-04-27,1018,5544218.598144664,598420.3464718001,1475.092864206458,0.13118669861970123,5,2,Dawuan,sector_parkir
2022-12-10,1224,2769398.0356450924,172644.36212297567,54644.814128755206,0.7615279046284175,9,3,Kertajati,sector_hotel
2023-07-08,1617,7883067.372348775,105138.95568589274,7652.598730578437,0.5995937876017948,8,3,Malausma,sector_hotel
2023-03-03,1565,2770198.3404171346,679185.224996428,28711.01818491509,0.6129755075619533,9,1,Kasokandel,sector_reklame
2024-06-10,1989,7357014.631364398,779318.841853377,8900.475786117477,0.226285726709269,10,4,Sindang,sector_restoran
2023-10-17,1459,6141558.70638329,501428.47501208895,85966.90924919433,0.654656705235813,7,4,Palasah,sector_restoran
2021-07-21,1393,1782963.337805212,364468.877558117,59147.96389380581,0.7678038627743953,9,3,Sumberjaya,sector_hotel
2023-05-25,1225,9060825.360957438,432610.6708129499,90220.43592525946,0.36430964541843236,3,1,Cigasong,sector_reklame
2022-05-27,1911,2086372.4612762374,389019.42603807995,68866.48463406881,0.8033336725220951,9,1,Palasah,sector_reklame
2022-12-27,1359,9896912.033992631,960024.9233294376,97105.81021138545,0.35530268264670073,2,2,Lemahsugih,sector_parkir
2022-10-08,1429,172373.83768391365,768321.8153139211,51036.77771056462,0.7605570768941948,9,4,Palasah,sector_restoran
